Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<a href=""https://clearviewlibrary.org/about-us/learn-more/hours-locations"">Hours &amp; Locations</a>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""old disabled day"" data-date=""1751155200000"">29</td>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""old disabled day"" data-date=""1751241600000"">30</td>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""disabled day"" data-date=""1752105600000"">10</td>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""disabled day"" data-date=""1752192000000"">11</td>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""disabled day"" data-date=""1752278400000"">12</td>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""disabled day"" data-date=""1752364800000"">13</td>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""disabled day"" data-date=""1752451200000"">14</td>"
1,https://clearview.libnet.info/events,Events - Clearview Library District,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"">"
1,https://clearview.libnet.info/events,Events - Clearview Library District,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<nav role=""navigation"" aria-labelledby=""block-utilitiesmenu-menu"" id=""block-utilitiesmenu"" class=""block block-menu navigation menu--utilities-menu"">"
